Operator,Sharing,#Operations,#Threads,Time (ms),Communication (Bytes),Total ANDs,Total Rounds
ADD,YAO,1,4,7.98,63135,1857,3
ADD,BOOL,1,4,17.582,80340,1857,61
ADD,YAO,10,4,19.1,616022,18570,3
ADD,BOOL,10,4,27.492,621312,18570,61
ADD,YAO,100,4,106.67,6148653,185700,3
ADD,BOOL,100,4,73.058,6055639,185700,61
ADD,YAO,1000,4,518.342,61484370,1857000,3
ADD,BOOL,1000,4,290.984,60387712,1857000,61
ADD,YAO,10000,4,5132.29,614841432,18570000,3
ADD,BOOL,10000,4,2342.27,603709332,18570000,61
ADD,YAO,100000,4,52169.4,6148409196,185700000,3
ADD,BOOL,100000,4,25116.4,6036941716,185700000,61
MUL,YAO,1,4,8.801,100223,3016,3
MUL,BOOL,1,4,21.508,113436,3016,49
MUL,YAO,10,4,31.05,986911,30160,3
MUL,BOOL,10,4,31.437,995491,30160,49
MUL,YAO,100,4,91.911,9857462,301600,3
MUL,BOOL,100,4,86.395,9820241,301600,49
MUL,YAO,1000,4,793.689,98572442,3016000,3
MUL,BOOL,1000,4,412.317,98052580,3016000,49
MUL,YAO,10000,4,8452.81,985722179,30160000,3
MUL,BOOL,10000,4,3888.94,980389019,30160000,49
MUL,YAO,100000,4,83743.5,9857214407,301600000,3
MUL,BOOL,100000,4,36338.8,9803732628,301600000,49
DIV,YAO,1,4,9.363,176351,5395,3
DIV,BOOL,1,4,53.436,258817,5395,298
DIV,YAO,10,4,60.144,1748182,53950,3
DIV,BOOL,10,4,82.12,1839582,53950,298
DIV,YAO,100,4,159.441,17470280,539500,3
DIV,BOOL,100,4,199.463,17620056,539500,298
DIV,YAO,1000,4,1444.23,174700604,5395000,3
DIV,BOOL,1000,4,796.969,175441345,5395000,298
DIV,YAO,10000,4,15147.6,1747003709,53950000,3
DIV,BOOL,10000,4,6740.99,1753637414,53950000,298
DIV,BOOL,100000,4,63327,17535640374,539500000,298
SIN,YAO,1,4,7.916,170585,5215,2
SIN,BOOL,1,4,34.06,197380,5215,95
SIN,YAO,10,4,30.032,1690602,52150,2
SIN,BOOL,10,4,37.449,1724222,52150,95
SIN,YAO,100,4,157.272,16894471,521500,2
SIN,BOOL,100,4,146.41,16980495,521500,95
SIN,YAO,1000,4,1368.39,168942595,5215000,2
SIN,BOOL,1000,4,717.413,169537276,5215000,95
SIN,YAO,10000,4,14355.5,1689423583,52150000,2
SIN,BOOL,10000,4,7131.21,1695101960,52150000,95
SIN,BOOL,100000,4,62289.6,16950776463,521500000,95
COS,YAO,1,4,12.148,170969,5227,2
COS,BOOL,1,4,30.244,197450,5227,98
COS,YAO,10,4,46.914,1694442,52270,2
COS,BOOL,10,4,47.9,1728428,52270,98
COS,YAO,100,4,199.315,16932871,522700,2
COS,BOOL,100,4,130.915,17018000,522700,98
COS,YAO,1000,4,1363.63,169326595,5227000,2
COS,BOOL,1000,4,752.597,169928354,5227000,98
COS,YAO,10000,4,14172,1693263592,52270000,2
COS,BOOL,10000,4,6408.71,1699004062,52270000,98
COS,BOOL,100000,4,62731.2,16989776926,522700000,98
CMP,YAO,1,4,3.622,10681,218,3
CMP,BOOL,1,4,9.85,12876,218,14
CMP,YAO,10,4,5.03,91475,2180,3
CMP,BOOL,10,4,6.434,75533,2180,14
CMP,YAO,100,4,39.33,903070,21800,3
CMP,BOOL,100,4,13.923,716868,21800,14
CMP,YAO,1000,4,113.94,9028512,218000,3
CMP,BOOL,1000,4,67.354,7097457,218000,14
CMP,YAO,10000,4,706.006,90282879,2180000,3
CMP,BOOL,10000,4,307.676,70941074,2180000,14
CMP,BOOL,100000,4,2813.63,709339958,21800000,14
CMP,YAO,100000,4,6935.98,902826816,21800000,3
EXP2,YAO,1,4,17.068,315385,9740,2
EXP2,BOOL,1,4,28.108,347240,9740,102
EXP2,YAO,10,4,71.253,3138602,97400,2
EXP2,BOOL,10,4,58.095,3196964,97400,102
EXP2,YAO,100,4,264.552,31374507,974000,2
EXP2,BOOL,100,4,192.846,31686452,974000,102
EXP2,YAO,1000,4,2632.69,313742901,9740000,2
EXP2,BOOL,1000,4,1261.18,316603486,9740000,102
EXP2,YAO,10000,4,24965.4,3137426490,97400000,2
EXP2,BOOL,10000,4,13321.9,3165745822,97400000,102
EXP2,BOOL,100000,4,112826,31657202270,974000000,102
LOG2,YAO,1,4,17.419,341881,10568,2
LOG2,BOOL,1,4,75.857,389732,10568,159
LOG2,YAO,10,4,74.08,3403562,105680,2
LOG2,BOOL,10,4,75.188,3480712,105680,159
LOG2,YAO,100,4,294.836,34024116,1056800,2
LOG2,BOOL,100,4,225.494,34395607,1056800,159
LOG2,YAO,1000,4,2886.57,340238964,10568000,2
LOG2,BOOL,1000,4,1379.53,343528232,10568000,159
LOG2,YAO,10000,4,27841.7,3402387021,105680000,2
LOG2,BOOL,10000,4,12628.7,3434864375,105680000,159
LOG2,BOOL,100000,4,123437,34348247184,1056800000,159
