Operator,#Operations,Time (ms),Communication (Bytes),Total ANDs
CMP,1,0.061,6848,216
CMP,10,0.193,68480,2132
CMP,100,1.357,684800,21300
CMP,1000,47.444,7110144,213000
CMP,10000,253.462,73460736,2130000
CMP,100000,2080.04,735918080,21300000
ADD,1,0.103,31584,988
ADD,10,0.778,315840,9860
ADD,100,16.042,3158400,98600
ADD,1000,115.347,31846144,986000
ADD,10000,996.853,320820736,9860000
ADD,100000,9347.32,3209518080,98600000
MUL,1,0.296,114304,3572
MUL,10,2.718,1143040,35712
MUL,100,81.731,11430400,357100
MUL,1000,344.592,114566144,3571000
MUL,10000,3218.21,1148020736,35710000
MUL,100000,32204.8,11481518080,357100000
DIV,1,0.357,121920,3812
DIV,10,3.168,1219200,38092
DIV,100,82.974,12192000,380900
DIV,1000,461.427,122182144,3809000
DIV,10000,3900.78,1224180736,38090000
DIV,100000,38364.8,12243118080,380900000
SQRT,1,0.249,96832,3028
SQRT,10,2.074,968320,30252
SQRT,100,73.222,9683200,302500
SQRT,1000,330.959,97094144,3025000
SQRT,10000,2658.27,973300736,30250000
SQRT,100000,26101.8,9734318080,302500000
SIN,1,0.462,166912,5216
SIN,10,3.521,1669120,52152
SIN,100,72.378,16691200,521500
SIN,1000,482.017,167174144,5215000
SIN,10000,4491.1,1674100736,52150000
SIN,100000,44773.2,16742318080,521500000
COS,1,0.427,167296,5228
COS,10,3.476,1672960,52272
COS,100,90.394,16729600,522700
COS,1000,458.081,167558144,5227000
COS,10000,4514.86,1677940736,52270000
COS,100000,45208.9,16780718080,522700000
TAN,1,1.23,456064,14252
TAN,10,32.709,4560640,142512
TAN,100,156.96,45606400,1425100
TAN,1000,1322.06,456326144,14251000
TAN,10000,12387.3,4565620736,142510000
TAN,100000,122370,45657518080,1425100000
EXP2,1,0.704,311712,9740
EXP2,10,15.419,3117120,97400
EXP2,100,114.902,31171200,974000
EXP2,1000,847.908,311974144,9740000
EXP2,10000,8375.77,3122100736,97400000
EXP2,100000,83608.8,31222318080,974000000
LOG2,1,0.784,338208,10568
LOG2,10,19.626,3382080,105680
LOG2,100,122.946,33820800,1056800
LOG2,1000,919.337,338470144,10568000
LOG2,10000,9044.57,3387060736,105680000
LOG2,100000,90528.2,33871918080,1056800000
EXP,1,0.908,365120,11412
EXP,10,31.88,3651200,114092
EXP,100,124.537,36512000,1140900
EXP,1000,983.327,365382144,11409000
EXP,10000,9831.23,3656180736,114090000
EXP,100000,97808.1,36563118080,1140900000
LN,1,0.728,284128,8880
LN,10,11.632,2841280,88780
LN,100,154.172,28412800,887800
LN,1000,839.961,284390144,8878000
LN,10000,7658.5,2846260736,88780000
LN,100000,76001.2,28463918080,887800000
