Volume ( 1e7 Pounds),USA strawberry retail price
0.33019,$3.79 
0.68966,$3.45 
0.62817,$3.11 
0.605969,$3.06 
0.672324,$3.13 
0.738428,$3.11 
0.770171,$3.28 
0.843233,$2.76 
1.042115,$2.56 
1.316221,$2.68 
1.86647,$2.75 
1.221809,$2.90 
2.373447,$3.00 
4.170685,$3.09 
2.750274,$2.81 
5.472641,$2.66 
6.931948,$2.56 
8.161956,$2.47 
8.328093,$2.32 
8.394617,$2.11 
7.909148,$2.12 
7.938293,$2.29 
7.879912,$2.15 
6.70186,$2.08 
6.235767,$2.18 
5.374007,$2.23 
5.131487,$2.18 
5.177487,$2.39 
5.181345,$2.56 
4.977762,$2.71 
5.297351,$2.95 
5.513594,$3.00 
5.487193,$3.00 
4.958485,$2.96 
4.691927,$2.89 
4.710342,$2.86 
3.882234,$2.85 
3.394284,$2.99 
3.643103,$3.13 
3.618151,$3.21 
3.385975,$3.57 
3.318573,$3.67 
2.958936,$3.59 
2.675658,$3.24 
2.287241,$3.57 
1.618639,$3.83 
